0,1,2,Latitude,Longitude
宇都宮岩曾郵便局,https://map.japanpost.jp/p/search/dtl/300107291000/?&cond2=1&cond200=1&&his=sa2,321-0973 栃木県宇都宮市岩曽町１３５５−８２,36.5833428,139.9128592
宇都宮江曽島郵便局,https://map.japanpost.jp/p/search/dtl/300107266000/?&cond2=1&cond200=1&&his=sa2,321-0101 栃木県宇都宮市江曽島本町６−７,36.53123,139.8719961
宇都宮大曽郵便局,https://map.japanpost.jp/p/search/dtl/300107260000/?&cond2=1&cond200=1&&his=sa2,320-0013 栃木県宇都宮市上大曽町３９６−９,36.5756569,139.8899233
宇都宮岡台郵便局,https://map.japanpost.jp/p/search/dtl/300107248000/?&cond2=1&cond200=1&&his=sa2,321-0904 栃木県宇都宮市陽東７−２−１９,36.5491856,139.9281075
宇都宮小幡郵便局,https://map.japanpost.jp/p/search/dtl/300107101000/?&cond2=1&cond200=1&&his=sa2,320-0036 栃木県宇都宮市小幡１−１−２１,36.5621492,139.8766244
宇都宮上河原郵便局,https://map.japanpost.jp/p/search/dtl/300107102000/?&cond2=1&cond200=1&&his=sa2,320-0811 栃木県宇都宮市大通り２−４−９,36.5597947,139.8929378
宇都宮上横田簡易郵便局,https://map.japanpost.jp/p/search/dtl/300107726000/?&cond2=1&cond200=1&&his=sa2,321-0104 栃木県宇都宮市台新田１−１３−１１,36.5184128,139.8797817
宇都宮川向郵便局,https://map.japanpost.jp/p/search/dtl/300107115000/?&cond2=1&cond200=1&&his=sa2,321-0964 栃木県宇都宮市駅前通り３−９−１４,36.5572892,139.8957989
宇都宮清原工業団地内簡易郵便局,https://map.japanpost.jp/p/search/dtl/300107748000/?&cond2=1&cond200=1&&his=sa2,321-3231 栃木県宇都宮市清原工業団地１５−１,36.5470203,139.9839669
宇都宮清原台郵便局,https://map.japanpost.jp/p/search/dtl/300107308000/?&cond2=1&cond200=1&&his=sa2,321-3223 栃木県宇都宮市清原台５−２３−３０,36.5496547,139.99697
宇都宮越戸郵便局,https://map.japanpost.jp/p/search/dtl/300107279000/?&cond2=1&cond200=1&&his=sa2,321-0951 栃木県宇都宮市越戸４−７−１,36.5703553,139.9268669
宇都宮桜郵便局,https://map.japanpost.jp/p/search/dtl/300107185000/?&cond2=1&cond200=1&&his=sa2,320-0043 栃木県宇都宮市桜４−１−３７,36.5660172,139.8667089
宇都宮さつき団地郵便局,https://map.japanpost.jp/p/search/dtl/300107304000/?&cond2=1&cond200=1&&his=sa2,321-0141 栃木県宇都宮市さつき２−１８−１１,36.4852022,139.8615564
宇都宮三の沢郵便局,https://map.japanpost.jp/p/search/dtl/300107282000/?&cond2=1&cond200=1&&his=sa2,320-0851 栃木県宇都宮市鶴田町２１８６−１,36.56449,139.8566928
宇都宮下栗郵便局,https://map.japanpost.jp/p/search/dtl/300107272000/?&cond2=1&cond200=1&&his=sa2,321-0923 栃木県宇都宮市下栗町２３２１,36.5353367,139.9145008
宇都宮宿郷郵便局,https://map.japanpost.jp/p/search/dtl/300107232000/?&cond2=1&cond200=1&&his=sa2,321-0953 栃木県宇都宮市東宿郷２−３−８,36.5574481,139.9015592
宇都宮末広郵便局,https://map.japanpost.jp/p/search/dtl/300107243000/?&cond2=1&cond200=1&&his=sa2,321-0144 栃木県宇都宮市末広１−１−１８,36.4843025,139.8721556
宇都宮関堀郵便局,https://map.japanpost.jp/p/search/dtl/300107190000/?&cond2=1&cond200=1&&his=sa2,321-0975 栃木県宇都宮市関堀町３７３−４,36.5961431,139.8961583
宇都宮千手町郵便局,https://map.japanpost.jp/p/search/dtl/300107053000/?&cond2=1&cond200=1&&his=sa2,320-0026 栃木県宇都宮市馬場通り３−２−３,36.5608308,139.8874794
宇都宮宝木町郵便局,https://map.japanpost.jp/p/search/dtl/300107280000/?&cond2=1&cond200=1&&his=sa2,320-0061 栃木県宇都宮市宝木町１−３４−２９,36.5763006,139.8522922
宇都宮大学内郵便局,https://map.japanpost.jp/p/search/dtl/300107208000/?&cond2=1&cond200=1&&his=sa2,321-0943 栃木県宇都宮市峰町３５０,36.5507158,139.9151669
