,0,1,2,Latitude,Longitude
0,江地簡易郵便局,https://map.japanpost.jp/p/search/dtl/300185716000/?&cond2=1&cond200=1&&his=sa2,999-8433 山形県飽海郡遊佐町江地中屋敷田８,39.0242036,139.8873839
1,江地簡易郵便局,https://map.japanpost.jp/p/search/dtl/300185716000/?&cond2=1&cond200=1&&his=sa2,999-8433 山形県飽海郡遊佐町江地中屋敷田８,39.0242036,139.8873839
2,杉沢簡易郵便局,https://map.japanpost.jp/p/search/dtl/300185717000/?&cond2=1&cond200=1&&his=sa2,999-8313 山形県飽海郡遊佐町杉沢堂ノ下１２−１,39.0088014,139.9669858
3,高瀬郵便局,https://map.japanpost.jp/p/search/dtl/300185191000/?&cond2=1&cond200=1&&his=sa2,999-8523 山形県飽海郡遊佐町当山堰中瀬１６,39.0465761,139.9013931
4,野沢簡易郵便局,https://map.japanpost.jp/p/search/dtl/300185756000/?&cond2=1&cond200=1&&his=sa2,999-8303 山形県飽海郡遊佐町野沢上ク子添１１１−５,39.0301453,139.9262997
5,吹浦郵便局,https://map.japanpost.jp/p/search/dtl/300185055000/?&cond2=1&cond200=1&&his=sa2,999-8521 山形県飽海郡遊佐町吹浦川田３３−２３,39.0713694,139.8779469
6,藤崎郵便局,https://map.japanpost.jp/p/search/dtl/300185046000/?&cond2=1&cond200=1&&his=sa2,999-8437 山形県飽海郡遊佐町藤崎一ノ坪３−９,39.004835,139.8711925
7,升川簡易郵便局,https://map.japanpost.jp/p/search/dtl/300185733000/?&cond2=1&cond200=1&&his=sa2,999-8525 山形県飽海郡遊佐町直世清水森８７−１,39.0644803,139.9117081
8,遊佐郵便局,https://map.japanpost.jp/p/search/dtl/300185047000/?&cond2=1&cond200=1&&his=sa2,999-8399 山形県飽海郡遊佐町遊佐鶴田３２−４,39.0125658,139.9071636
9,蕨岡郵便局,https://map.japanpost.jp/p/search/dtl/300185136000/?&cond2=1&cond200=1&&his=sa2,999-8316 山形県飽海郡遊佐町豊岡花塚３５,38.9965928,139.9258147
